a1   0.0  0.1  0.2  0.3  0.4  0.5  0.6  0.7  0.8  0.9  1.0  a2   0.0  0.1  0.2  0.3  0.4  0.5  0.6  0.7  0.8  0.9  1.0  a3   0.0  0.1  0.2  0.3  0.4  0.5  0.6  0.7  0.8  0.9  1.0  
9   nan  nan  nan  nan   34  nan   8   nan  nan  nan  nan   18  nan  nan  nan  nan   30  nan   5   nan  nan  nan  nan   34  nan  nan  nan  nan   13  nan   3   nan  nan  nan  nan  nan   31100     157000    57200     
6   nan  nan  nan  nan  nan  nan  nan  nan   27  nan  nan   9   nan  nan  nan  nan  nan  nan  nan  nan   24  nan  nan   12  nan  nan  nan  nan  nan  nan  nan  nan   22  nan  nan  nan   478000    142000    283000    
2   nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan   1   nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan   362000    589000    457000    
16  nan  nan  nan   28  nan  nan  nan   8   nan  nan  nan   8   nan  nan  nan   10  nan  nan  nan   7   nan  nan  nan   22  nan  nan  nan   30  nan  nan  nan   7   nan  nan  nan  nan   4280000   8250000   31000000  
11  nan  nan   2    12  nan   22  nan  nan  nan  nan  nan   13  nan  nan   8    13  nan   11  nan  nan  nan  nan  nan   9   nan  nan   1    8   nan   9   nan  nan  nan  nan  nan  nan   12800     6830      33400     
3   nan  nan  nan   11  nan  nan  nan   8   nan  nan  nan   10  nan  nan  nan   12  nan  nan  nan   6   nan  nan  nan   7   nan  nan  nan   14  nan  nan  nan   10  nan  nan  nan   1    264000    1040000   55300     
11  nan   2    3   nan  nan  nan  nan   2   nan  nan  nan   8   nan   2    9   nan  nan  nan  nan   6   nan  nan  nan   12  nan   2    2   nan  nan  nan  nan   2   nan  nan  nan  nan   39100     31200     216000    
5   nan  nan   7   nan   16  nan  nan  nan  nan  nan  nan   11  nan  nan   12  nan   27  nan  nan  nan  nan  nan  nan   3   nan  nan   1   nan   21  nan  nan  nan  nan  nan  nan  nan   7300      33800     72800     
11  nan   20   6   nan  nan   5   nan  nan  nan  nan  nan   8   nan   28   18  nan  nan   2   nan  nan  nan  nan  nan   4   nan   14   4   nan  nan  nan  nan  nan  nan  nan  nan  nan   19900     5630      1040      
0   nan  nan   7    20  nan   12  nan  nan  nan  nan  nan  nan  nan  nan   6    18  nan   16  nan  nan  nan  nan  nan   2   nan  nan   5    35  nan   13  nan  nan  nan  nan  nan  nan   84900     167000    491000    
18  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan   24   3   nan  nan  nan  nan  nan  nan  nan  nan  nan  nan   13   4   nan  nan  nan  nan  nan  nan  nan  nan  nan  nan   23  nan   70000     64600     12400     
3   nan   1    19  nan  nan   3   nan  nan  nan  nan  nan  nan  nan   17   5   nan  nan  nan  nan  nan  nan  nan  nan  nan  nan   10   4   nan  nan   1   nan  nan  nan  nan  nan  nan   539000    37000     70700     
10  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan   5    11  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan   1    13  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan   2    1    25300     21900     298000    
2   nan   7   nan  nan  nan  nan  nan  nan  nan   2   nan  nan  nan   5   nan  nan  nan  nan  nan  nan  nan  nan  nan   13  nan   4   nan  nan  nan  nan  nan  nan  nan   1   nan  nan   6270000   813000    1270000   
15  nan   3    7    6    9   nan  nan  nan  nan  nan  nan   15  nan   17  nan  nan   2   nan  nan  nan  nan  nan  nan   11  nan  nan   3    1    6   nan  nan  nan  nan  nan  nan  nan   30600     19600     269000    
16  nan   5   nan   10   34  nan  nan  nan  nan  nan  nan   8   nan   13  nan   11   32  nan  nan  nan  nan  nan  nan   1   nan   9   nan   5    21  nan  nan  nan  nan  nan  nan  nan   8310      64        2300      
8   nan   5    8   nan  nan  nan  nan   7   nan  nan  nan   7   nan  nan   2   nan  nan  nan  nan   9   nan  nan  nan   5   nan   2    2   nan  nan  nan  nan   13  nan  nan  nan   1    29000     159000    142000    
8   nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan   5   nan   1   nan  nan  nan  nan  nan  nan  nan   1   nan   8   nan  nan  nan  nan  nan  nan  nan  nan  nan   5   nan  nan   91500     521000    438000    
7   nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan   8   nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan   1    14500     11500     1230000   
0   nan  nan  nan   5   nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan   9   nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan   9   nan  nan  nan  nan  nan  nan  nan  nan   816000    1030000   65600     
